name,group,usage
کلومیفن,تحریک تخمک گذاری,درمان نازایی و نا رسایی تخمدان در موارد تشخیص عملکرد تخمدان به کار می رود .
آلومینیوم منیزیوم,آنتی اسید,آنتی اسید در درمان تحریک دستگاه گوارش یا زخم معده مصرف می شود .
آلومینیوم ام‌جی‌اس,ضد نفخ,درمان نفخ و کاهش اسید معده
پلی میکسین,ضد باسیل گرم منفی,در درمان عفونت چشمی و میکروبی مقاوم در ملتحمه و قرینیه چشم
کو آموکسی کلاو,بتالاکتام,عفونت ریه عفونت گوش میانی سینوزیت عفونت پوستی و کلیه و مجاری ادراری
بلئومایسین,ضد سرطان,سرطانی سلولی پوست لنفوم و سرطان بیضه
داکتینومایسین,ضد سرطان,سرطانی شایع : در کلیه تومور ویلمز تومور عضلات رابدومیوساکرم سرطان بیضه سارکوم استخوان
کلیندا مایسین فسفات,ضد میکروب,در عفونت میکروبی واژن خانم کاربرد فراوان دارد .
کلوفازیمین,ضد جذام,درمان جذام شایعترین مورد مصرف این دارو می باشد . البته این دارو به صورت کمکی با داروهای ضد جذام دیگر مصرف می شود .
نیستاتین,ضد قارچ,عفونتی قارچی کاندیدا ناحیه واژن یا مخاط دهان یا پوست و مری عفونت برفکی دهان کودکان
کلوگزاسیلین-سدیم,پنی سیلین مقاوم به پنی سیلین,عفونتی میکروبی با استاف طلایی میکروبی است که تولید کننده پنی سیلیناز است عفونتی پوستی و دستگاه تنفس
کاربنی سیلین,پنی سیلین ضد پسودوموناس,علیه عفونتی ادراری مننژِت عفونت بافت نرم پوست
ایمی پنم,آنتی بیوتیک,در درمان عفونتی ریوی عفونتی اداری- استخوانی ضایعات پوستی عفونت زنان و زایمان آلودگی میکروبی کلیه یا دریچهی قلبی
کاپرئومایسین,ضد سل,بیماری سل
آموکسی سیلین,آنتی بیوتیک,عفونت دستگاه تنفس ادراری
باسیتراسین,آنتی بیوتیک,زخم قرنیه التهاب و عفونت ملتحمه چشم
گریزوفولوین,ضد قارچ,عفونت قارچی عفونتی درماتوفیتی پوست و مو
کلیندا مایسین موضعی,ضد جوش و آکنه,آکنه و جوش سر و صورت عفونتی پوستی و زخمی سطحی عفونی
پنی سیلین,ضد میکروب,در درمان عفونتی ریوی عفونت پرده مغز مننژیت دیفتری سفلیس
کلیندا مایسین,آنتی بیوتیک,عفونتی ریوی پوستی و استخوانی درمان کمکی ایدز و عفونتی میکروبی واژن و مالاریا
بنزوتروپین مسیلات,ضد پارکینسون,پارکینسون دسیتونی دو بیماری سیستم عصبی که اولی با لرزش ترمور اندام و مشکل در حرکت و راه رفتن به علت کاهش مواد ضروری در گیرنده در مغز بروز می کند و دومی سفتی عضلات نواحی گردن و اندامست
متوترکسات,ضد سرطان ضد رماتیسم,سرطانی خونی لوسمی سرطان استخوان استئوسارکوم لنفوم پسوریازیس آرتریت روماتوئید
هیدروکسی اوره آ,ضد نئوپلاسم,سرطانی بدخیم خونی ملانوم بدخیم سرطان عود کننده تخمدان سرطانی سر و گردن
دیفن هیدرامین کامپاند,ضد احتقان ضد سرفه,درمان علامتی سرماخوردگی گرفتگی بینی آلرژی سرفه
نفازولین,ضد احتقان و حساسیت,در موارد پر خونی چشم ترشحات بینی خارش و قرمزی چشم
آستمیزول,ضد حساسیتی غیر خواب آور,حساسیت کهیر آلرژی رینیت
کتوتیفن,درمان آسم,عوارض آلرژی مفصلی آسم حساسیتی چشمی
سیپروهپتادین,ضد حساسیت اشتها آور,افزایش اشتها و درمان آلرژی و سردردی عروقی میگرن
پدیاتریک گریپ,ضد سرما خوردگی اطفال,سرما خوردگی و ترشحات بینی و سینوزیت اطفال التهاب گوش
قرص سرما خوردگی اطفال,ضد حساسیت و ضد تب و سرماخوردگی,این دارو ترکیب استامینوفن و آنتی هیستامین فنیل پروپانول آمین و کلرفنیر آمین است که در درمان سرماخوردگی و آبریزش بینی و عطسه و تب به کار می رود .
بای پیریدن,ضد پارکینسون,پارکینسون و علائم اکستراپیرامیدال در مسمویت دارویی مثلا در مسمومیت با داروی ضد استفراغ تزریقی یا خوراکی متوکلو پرامید
هیوسین,ضد اسپاسم,درمان کمکی در زخم معده اسهال درد اسپاسمی زخم روده بزرگ در بیماری حرکت ضد استفراغ بی اختیاری ادراری و درد قاعدگی
بنزتروپین,ضد پارکینسون,علائم مغذی بیماری پارکینسون و اکستراپیرامیدال
سیکلو پنتولات چشمی,گشاد کننده مردمک,برای آماده سازی چشم برای معاینه چشم پزشکی
پانکراتین,هضم کننده,کمبود آنزیم پانکراتین سرطان لوزوالمعده درمان بعد از جراحی برداشت روده
آسپاراژیناز,ضد سرطان نئوپلاسم,در یک نوع سرطان خون لوسمی منفوسیتی حاد
فیبرینولیزین موضعی,تمیز کننده موضعی زخم,در سوختگی و درمان زخم
دایجستیو,پانکراتین سایمیتیکون لیپاز,بیماریی گوارشی ناشی از کیسه صفرا پانکراس عمل جراحی معده درمان اسهال ناشی از جراحی برداشتن معدهو درمان نفخ
دیفن هیدرامین,آرام بخش ضد حساسیت,علائم آلرژی کهیر پرخونی چشم بیماریی خارش دارپوستی حساسیت شدید درمان پارکینسون و دیستونی حاد
دیمن هیدرینات,ضد حساسیت,تهوع استفراع اختلالات تعادل به واسطه مشکل گوش داخلی
کلماستین,آرام بخش,حساسیت کهیر آنژیوادم ریزش آب از بینی حساسیتی التهاب ملتحمه چشم بیماری پوستی خارش دار
اتر,بیهوش کننده,در بیهوشی به عنوان داروی کمکی استفاده می شود .
دی هیدروارگوتوکسین,درمان دمانس پیری,در درمان دمانس یا زوال عقلی در سالمندان
سیکلوسرین,ضد سل,درمان سل ریوی یا خارج از ریه
ناندرولون,آنابولیک,در درمان کم خونی ناشی از بیماریی کلیوی درمان سرطان پستان به صورت کمکی و با توجه به خاصیت تستسترونی در ورزشکاران به ویژه رشته بدنسازی برای افزایش حجم عضلات
اسید فوسیدیک,آنتی بیوتیک,در درمان عفونت و التهابی پوستی
اکسی متولون,ضد کم خونی,در درمان کم خونی تقویت عضلات و افزایش آنابولیسم در ورزشکاران حرفه ای بدنسازی از آن سوء استفاده می شود .
استروژن کنژوگه,هورمون - جانشین استروژن,درمان علائم گرگرفتگی و یائسگی درمان استئوپورز ضد نئوپلاسم شکایتی مجرای ادراری و تناسلی در زنان یائسه کمبود استروژن
کارنیتین,مکمل غذایی,کمبود کارنیتین در برنامهی بدنسازی تقویت عضلانی جلوگیری از کرامپ عضلانی در همودیالیز
ایندومتاسین,ضد درد ضد التهاب,در درمان دردهای خفیف تا متوسط تب ضد التهاب در بیماریی التهابی و رماتیسمی در آرتروز تورم مفاصل
دکس پانتنول,ضد التهاب پوستی,التهاب موضعی پوستی اگزما خارش و حساسیت و تحریک پوستی
کلسیم پانتوتنات,ویتامین 5,کمبود ویتامین 5 و پیشگیری از کمبود آن
ایبوپروفن,ضد التهاب ضد درد,دردی عمومی قلب بیماریی رماتیسمی درد قاعدگی
ناپروکسن,ضد درد ضد التهاب غیر استروئیدی,رماتیسم آرتروز دردی استخوانی حمله حاد نقرس سر دردی میگرنی
دیکلوفناک سدیم,ضد درد ضد التهاب,آرتروز استئوآرتریت رماتیسم مفصلی التهاب بورس و تاندون درد کلیوی
لوکوورین,درمان کم خونی,کمبود اسید فولیک درمان کمکی در سرطان که با متوترکسات درمان می شود در کم خونی
اسید سیتریک,آنتی اکسیدان,در درمان سنگی ادراری اگزالاتی و در درمان نقرس و اسید متابولیک مزمن
اسید بوریک,ضد باکتری ضد قارچ ضعیف,محلول دهان شویه و قطرهی چشمی و حشره کش
ایزونیازید,ضد سل,درمان سل ریوی
والپروات,ضد تشنج,انواع تشنج موضعی و عمومی درمان پیشگیری میگرن اختلالات اضطرابی در درمان اعصاب محیطی
بروموکریپتین,مهار هورمون ترشح پرولاکتین,عدم قاعدگی در زن بلوغ آمنوره ترشح شیر نابجا بیماری اکرومگالی درشتی غیر طبیعی اندام
ایپکاک,استفراغ آور,ایجاد استفراغ در مسمومیت حاد و گاهی به عنوان داروی خلط آور استفاده می شود .
نمک متعادل شده,محلول شستشوی چشم,شستشوی چشم حین عمل جراحی
محلول نمکی متعادل شده به همراه گلوتاتیون,محلول شستشوی چشم,شستشوی چشم حین عمل جراحی مثل آب مروارید کاتاراکت
کلرفنیرآمین مالئات,ضد حساسیت بی حس کننده موضعی,درمان علامتی حساسیت کهیر آنژیوادم آب ریزش و بیماریی التهابی پوستی
کربنات کلسیم,آنتی اسید ترکیب کمکی کلسیم,هیپر فسفاتمی ناشی از نارسایی کلیه کاهش کلسیم به عنوان آنتی اسید در زخم معده
اکسپکتورانت,خلط آور,درمان سرفه و تسهیل تخلیه خلط اط ریه و دفع ترشحات مجاری تنفسی سرماخوردگی
گایافنزین,خلط آور,سرفهی خشک یا درمان کمکی در فارنژیت برونشیت سینوزیت
برم هگزین کلراید,خلط آور,سرفهی توام با خلط
پیروکسیکام,ضد درد غیر استروئیدی,دردی اسکلتی-عضلانی رماتیسم مفصلی رماتیسم جوانان
داکسی سایکلین,آنتی بیوتیک,عفونتی حاد گونوکوکی سیفلیس عفونتی لوله رحمی عفونت دستگاه تناسلی
نالوکسان,ضد اپیوئید - ضد مخدر,تشخیص و درمان مسمومیت با مواد مخدر یا کومای ناشی از آن درمان مهار تنفسی بعد از جراحی خارش ناشی از انسداد صفراوی
کالامین,ضد خارش موضعی,خارش التهاب خفیف پوستی گرمازدگی آفتاب سوختگی
کلوتریمازول,ضد قارچ,عفونت کاندیدایی پوست عفونت کاندیدایی واژن
میکونازول,ضد قارچ,در درمان عفونتی قراچی پوست و ناخن و عفونت زنان
لوامیزول,ضد کرم,کرمی روده ای نماتود در سرطان روده بزرگ به عنوان داروی کمکی مصرف می شود مورد اصلیدرمان کرم آسکاریس است . در بیماری رماتیسم مفصلی کاربرد دارد .
کتوکونازول,ضد قارچ,عفونتی قارچی برفک دهان هیستوپلاسموز قارچ ناخن
فنوباربیتال,ضد تشنج,درمان تشنج صرع تشنج نوزادی یا تشنج به دنبال ضربه تشنج زمان حاملگی و به عنوان بی حس کننده موضعی
ایزوپروترنول,ضد آریتمی قلبی,این داروی مهم قلبی روی گیرندهی بتا 1 و بتا 2 اثر تحریکی دارد . باز کننده ریه نیز می باشد . برای انقباض عروق در شوک و نارسایی قلبی و اسپاسم ریه کاربرد دارد . بلوک قلبی نیز از دیگر موارد استفاده آن می باشد .
ایزوکسوپرین,گشاد کننده عروث,نارسایی عروق محیطی مثل سندرم رینود مشکلات عروق مغزی و بیماری برگز و عوارض همراه قاعدگی
گوانیتیدین,ضد فشار خون,فشار خون اولیه بالا و فشار خون ناشی از بیمار کلیوی و تنگی شریان کلیوی
پرازوسین,گشاد کننده عروق ضد فشار خون,فشار خون خفیف تا متوسط
آملودیپین بزیلات,ضد فشار خون,دردرمان آنژین درد قلبی و درمان فشار خون استفاده می شود .
نیفیدیپین,ضد فشار خون,در درمان فشار خون ضد درد قلبی و درد
دیلتیازم,ضد آنژین ضد فشار خون,آنژین مزمن قلبی آریتمی قلبی جلوگیری از سکته قلبی میگرن
فلورازپام,آرام بخش,بی خوابی اضطراب
کلرودیازپوکساید,ضد اضطراب,اضطراب محرومیت از الکل و عوارض ناشی از ترک آن
کلیدینیوم سی,آرام بخش و ضد اسپاسم معده و روده,این دارو ترکیب کلردیازپوکساید و کلیدینیوم بروماید است . درمان کمکی زخم معده و روده تحریک پذیر
لوراز پام,ضد تشنج خواب آور,اختلالات اضطرابی بی خوابی تشنج تهوع استفراغ
میدازولام,آرام بخش داروی کمکی در بیهوشی,آرام بخش کاهش اضطراب نگهداری و کمک بیهوشی عمومی درمان تشنج سکسکه مقاوم به درمان
کلوبازام,ضد اضطراب آرام بخش,اضطراب بی قراری تشنج و دردی بعد از قطع عضو
کلونازپام,ضد تشنج,تشنج اختلالات حملات عضلانی میوکلونیک در صرع
اکسازپام,ضد اضطراب,آرام بخش اختلالات اضطرابی بی خوابی
دیازپام,آرام بخش ضد اضطراب,درمان اضطراب تشنج ضد لرزش ضد حملات ترس پانیک در اسپاسم عضلانی به عنوان شل کننده عضلات اسپاسم در بیماران کزاز
آلپرازولام,ضد اضطراب خواب آور,اضطراب و حمله ترس
پنتازوسین,مخدر,ضد درد متوسط تا شدید
بنزیل بنزوآت,ضد گال و شپش,گال و شپش پدیکولوز
هالوپریدول,ضد سایکوز اختلالات شدید روانی,اختلالات سایکوز در نوع حاد و مزمن اضطراب شدید در بیماری اوتیسم افعال در استفراغی شدید و در دیس تونی اندام
دروپریدول,ضد سایکوز,ضد سایکوز ضد بیهوشی ضد تهوع در راستای اقدامات تشخیص به منظور آماده سازی بیمار آرام بخش بی قراری شدید
متفورمین,ضد دیابت,دیابت قندی تیپ
اتیدرونات,ضد هیپرکلسمی ضد استئوپورز پوکی استخوان,استئوپورز پوکی استخوان در یائسگی و پوکی استخوان ناشی از استروئید کورتون و در درمان پوکی استخوان یائسگی
هالوتان,بیهوش کننده,بیهوشی عمومی القا و نگهداری بیهوشی عمومی کاهش میزان درد زایمانی طبیعی بی حسی سرپایی
متوکلوپرامید,ضد تهوع ضد استفراغ,برگشت اسید معده به مری درمان یا پیشگیری از استفراغ و استفراغ شیمی درمانی
کارباکول چشمی,ضد آب سیاه چشم گلوکوم,کاهش فشار داخل کره چشمگلوکوم
بتاکاروتن,محافظت پوست,کمبود ویتامین مهار واکنشی ناشی از حساسیت به نور
اینترفرون,ضد سرطان و ضد هپاتیت,سرطانی خون لوسمی سارکوم کاپوسی هپاتیت مزمن
ژستونورون,ضد سرطان,سرطانی رحم اندومتر و هیپرپلازی خوش خیم پروستات
لوونورژسترل,هورمونی ضد حاملگی,جلوگیری از بارداری
مدروکسی پروژسترون,ضد سرطان ضد بارداری,جلوگیری از بارداری - پیشگیری از هیپرلازی اندومتر رحمی درمان موقت سرطان پستان در خانمی یائسه سرطان پروستات مردان
لاتانوپروست,ضد آِب سیاه چشمگلوکوم,برای درمان فشار بالای داخل چشم
سیساپراید,داروی گوارش,احساس ترش کردن در معده کم تحرکی دستگاه گوارش برگشت مواد معده به مری
ستیل پیریدینوم,ضد عفونی کننده,ضد عفونی و درمان التهاب لثه و عفونت جزئی دهان
سیکلوسپورین,سرکوب کننده ایمنی,مهار ایمنی در پیوند کلیه ضد رماتیسم درماتیت عوارض پوستی آلوپسی پیوند قرینیه چشم تیپ دیابت
کالسی تونین,ضد پوکی استخوان,پیشگیری از پوکی استخوان پس از یائسگی بیماری پاژه استخوان و نئوپلاسم بدخیم
دکستران,سرم,مورد اصلی مصرف آن وقتی است که در موارد اورژنش خون در دسترس نباشدو با این محلول حجم داخل عروث افزایش می یابد .
کولیستین,آنتی بیوتیک - ضد باکتری,درمان عفونتی دستگاه گوارش و گرم منفی مثل پسودومونا
نافیسیلین,آنتی بیوتیک,عفونتی میکروبی میکروب استاف طلاییسلولیت عفونت استخوانی پنومونی آبسه مغزی اندوکاردیت عفونت نوزادان
آمپی سیلین,آنتی بیوتیک,عفونتی عمومی دستگاه تنفس سیستم ادراری عفونت پرده مغزمننژیت
اتوپوساید,ضد سرطان,سرطانی بیضه و ریه
کلادریبین,ضد سرطان,در درمان سرطان خون لوسمی لنفوم آنمی کم خونی لیز کننده
پیپرازین,ضد کرم,کرمی گرد یا نماتود آسکاریس کرمک استرونژیلوس
پرفنازین,درمان سایکوز,اختلال شدید روانی مثل اسکیوزوفرنی اضطراب شدید تهوع و استفراغ شدید افسردگی همراه با اضطراب
هیدروکسی زین,ضد حساسیت و خارش,خارش حساسیت آلرژیک کهیر مزمن آرام بخش
ترفنادین,آنتی هیستامین ضد حساسیت,حساسیت آلرژی کهیر ترشحات از بینی آبریزش- این دارو آنتی هیستامین غیر آرام بخش است .
دی اتیل کابامازین سیترات,ضد کرم,آلودگی انگلی به کرم فیلاریاز سرکیاز لوآلوآ و آسکاریس کرمی روده و مجاری لنفاوی بدن
سیناریزین,ضد حساسیت آرام بخش,درمان علامتی سرگیجه و اختلالات عروقی محیطی
لوپراماید,ضد اسهال,در درمان اسهالی مسافرتی و اسهالی حاد و مزمن
فلوسیتوزین,ضد قارچ,درمان عفونتی قارچی کاندیدا اسپورتریکوز کریپتوکوکوزیس
دی پیرید امول,مهار کننده تجمع پلاکتی,پیشگیری از ترومبوآمبولیلخته شدن خون در ورید به ویژه در دریچهی مصنوعی قلبی به منظور تشخیص بیماری قلبی پیشگیری از سکته قلبی مجدد
دوستکسل,ضد سرطان,در درمان سرطانی پستان در مراحل پیشرفته نومور بدخیم سرطان پستان و ریه و تخمدان
تتراسایکلین,آنتی بیوتیک,عفونتی عمومی خفیف تا متوسط بیماری عفونی لگن عفونت گونوکوکی بیماریی مقاربتی سفلیس عفونت مجاری ادراری در زنان
تتراسایکلین موضعی,آنتی بیوتیک ضد آکنه,آکنه و عفونتی ساده پوستی
سالبوتامول,باز کننده مجاری هوایی ریه,آسم به ویژه حملات حاد آسم بیماریی انسدادی ریه برونشیت پیشگیری از زایمان زودرس
ارگوتامین سی,ضد میگرن,حملات سر درد میگرنی یا سر دردی عروقی
بلادونا - پی بی,ضد درد ضد موسکارین,زخم معده بیماری روده تحریک پذیر و عفونت باکتریال روده اسهال درد شکمی به ویژه شیرخواران
فروس سولفات,ضد کم خونی,به عنوان مکمل غذایی خونساز و کم خونی فقر آهن
استامینوفن کدئینه,ضد درد ضد تب,درد خفیف تا شدید
آ - ث - آ,ضد درد ضد تب,دردی خفیف تا متوسط تب
آدالت کلد قرص سرما خوردگی بزرگسالان,ضد سرما خوردگی,سرما خوردگی + علائم آنفولانزا و سینوزیت
استیل سیستئین,آنتی دوت استامینوفن ضد و خنثی کننده استامینوفن,هرگاه فردی با استامینوفن مسموم شده باشد کاربرد دارد .
آلبندازول,ضد کرم وسیع الطیف,درمان کرم تنیاسولیوم سیستی سرکوزیس و بیماری هیداتید
اشک مصنوعی,اشک مصنوعی,نارسایی ترشح اشک در چشم خشکی چشم
آسیترتین,ضد آکنه ضد پسوریازیس,ضایعات پوستی پسوریارزیس اختلال کراتیینزاسیون
لوودوپا- بی,ضد پارکینسون,پارکینسون این دارو ترکیب لوودوپا و بنسرازید است
لوودوپا-سی,ضد پارکینسون,پارکینسون
بیسموت ساب سیترات,ضد زخم معده و روده ضد اسهال مسافرتی,پیشگیری از اسهال مسافرتی سوءضمه زخم معده و روده و گاستریت التهاب معده
پیرونیوم پاموآت,ضد کرم,آلودگی به انگل کرمک
فلوکونازول,ضد قارچ,علیه قارچ دهانی قارچ حلقی مثل کاندیدیاز در مری و مننژیت کریپتوکوکی و سایر عفونتی عمومی و عفونت واژن
متی مازول,ضد پرکاری تیروئید,در درمان پرکاری تیروئید گواتر سمی
فلوپنتیکسول,ضد سایکوز حالات شدید روانی,درمان سایکوز درمان کم خونی مگالوبلاستیک ضد درد صرع تشنج
تیوتیکسین,ضد اختلالات روانی,اختلالات روانی اختلال شخصیتی
کلسیم فورت,الکترولیت,کمبود کلسیم استئوپوزر پوکی استخوان
کلسیم گلوکونات,اختلالات الکترولیتی,درمان کمبود کلسیم حاد بالا بودن پتاسیم بالا بودن منیزیم ایست قلبی
کلسیم کلراید,اختلال الکترولیتی,احیای قلب کاهش شدید کلسیم مسمومست با منیزیم
کولودیون,بیماریی پوست,برای حفاظت از پوست در ضایعات پوستی و التهاب پوستی به کار می رود . در ساخت ترکیبات دارویی نیز به کار می رود .
اتومیدیت,بیهوش کننده عمومی,در بیهوشی عمومی
هماتینیک,خونساز,پیشگیری و درمان کم خونی ناشی از کمبود آهن سوء تغذیه در حاملگی
گرانی استرون,ضد تهوع و ضد افسردگی,در استفراغی شدید ناشی از شیمی درمانی سرطان
روغن کرچک,----,رادیو گرافی تشخیصی یا آمادگی قبل از عمل
اتامبوتول,ضد سل,ضد بیماری سل ضد بیماری ایدز و عفونتی جدی و شدید
ادتیت دی کبالت,ضد مسمومیت با سیانید .,مسمومیت با ترکیبات سیانیدی
کلوزاپین,ضدسایکوز اختلال روانی شدید,بیماری روانی سایکوز اسکینروفرنی اختلال رفتاری ناشی از فراموشی پیری دمانس سایکوز همراه بیماری پارکینسون
تری میپرامین,ضد افسردگی,در درمان افسردگی و دردی مزمن و اختلالات خواب
داکسی پین,ضد افسردگی ضد درد,افسردگی مزمن درد مزمن اضطراب
دزی پرامین,ضد درد ضد افسردگیسه حلقه ای,افسردگی مزمن درد مزمن کودکان بیش فعال کم توجهپرخوری عصبی افسردگی ناشی از مصرف الکل و کوکائین
لاکتولوز,اسهال آور,ضد یبوست- عوارض کبدی ناشی از کومای کبدی و پیشگیری از عوارض مغزی آن آنسفالوپاتی کبدی مفید است .
وراپامیل,ضد فشار خون,درد قلبی فشار خون بی نظمی قلبی به ویژه آریتمی
متادون,ضد درد مخدر صناعی,در شدید سندرم محرومیت از مخدر
دایمتیکون,ضد نفخ,نفخ شکم درمان کمکی در زخم معده روده تحریک پذیر عدم تحمل به لاکتوز
کلوروکسیلنول,ضد عفونی کننده,ضد عفونی زخم
فلبامات,ضد تشنج,این دارو به دلیل عوارض جدی فقط در موارد خاص تشنجی مقاوم کاربرد دارد .
دیلوکسانید,ضد انگل ضد آمیب,ضد آلودگی انگلی با آمیب می باشد . در آلودگی باکیست هم مفید است .
تریامترن-اچ,دیورتیک-ادرار آورمدر,تورم عمومی بدن ادم ناشی از نارسایی قلبی نارسایی کبدی فشار خون درمان کاهش پتاسیم خون
هیدروکلروتیازید,ضد فشار خون ضد سنگ سازی در کلیه,در درمان فشار خون اختلالات کبدی نارسایی کلیه ادم عمومی قبل از قاعدگی
