name,preprocessed_ALL
Urokinase,Urokinase Urokinase endogenous peptide cleaved presence plasmin lysine isoleucine yield active urokinase A191943 Urokinase remains connected chain sulfhydryl bond A191943 Urokinase granted FDA approval January L12138 Canada urokinase indicated lysis acute massive pulmonary embolus acute thrombus obstructing coronary artery occlusive thromboemboli peripheral artery graft restoration patency intravenous catheter L12141
Goserelin,Goserelin Goserelin synthetic hormone men stop production hormone testosterone may stimulate growth cancer cell woman goserelin decrease production hormone estradiol may stimulate growth cancer cell level similar postmenopausal state medication stopped hormone level return normal compound belongs class organic compound known oligopeptides organic compound containing sequence three ten alpha-amino acid joined peptide bond Goserelin indicated-- Use combination flutamide management locally confined carcinoma prostate-- Palliative treatment advanced carcinoma prostate-- management endometriosis-- Use endometrial-thinning agent prior endometrial ablation dysfunctional uterine bleeding-- Use palliative treatment advanced breast cancer pre- perimenopausal woman
Reteplase,Reteplase Human tissue plasminogen activator purified glycosylated residue purified CHO cell Retavase considered third-generation thrombolytic agent genetically engineered retain delete certain portion human tPA Retavase deletion mutein human tPA formed deleting various amino acid present endogenous human tPA Retavase contains amino acid native human tPA amino acid-- - retains activity-related kringle- serine protease domain human tPA Three domain deleted retavase-- kringle- finger epidermal growth factor EGF lysis acute pulmonary embolus intracoronary embolus management myocardial infarction
Erythropoietin,Erythropoietin Erythropoietin EPO growth factor produced kidney stimulates production red blood cell work promoting division differentiation committed erythroid progenitor bone marrow FDA Label Epoetin alfa Epoge developed Amgen Inc first rhEPO commercialized United States followed alfa beta formulation Epoetin alfa -amino acid erythropoiesis-stimulating glycoprotein produced cell culture using recombinant DNA technology used treatment patient anemia associated various clinical condition chronic renal failure antiviral drug therapy chemotherapy high risk perioperative blood loss surgical procedure FDA Label molecular weight approximately dalton produced mammalian cell human erythropoietin gene introduced product contains identical amino acid sequence isolated natural erythropoietin biological activity endogenous erythropoietin Epoetin alfa biosimilar Retacrit epoetin alfa-epbx epoetin zeta formulated allow access treatment option patient market L2784 biosimilar approved FDA EMA safe effective affordable biological product display equivalent clinical efficacy potency purity reference product A7504 Epoetin alfa formulation administered intravenously subcutaneously Indicated adult paediatric patient-- treatment anemia due Chronic Kidney Disease CKD patient dialysis dialysis-- treatment anemia due zidovudine patient HIV-infection-- treatment anemia due effect concomitant myelosuppressive chemotherapy upon initiation minimum two additional month planned chemotherapy-- reduction allogeneic RBC transfusion patient undergoing elective noncardiac nonvascular surgery
Salmon calcitonin,Salmon calcitonin Synthetic peptide residue long formulated nasal spray Used treatment symptomatic Pagets disease patient unresponsive alternate treatment intolerant treatment addition used emergency situation serum calcium level must decreased quickly underlying condition identified also added existing therapeutic regimen hypercalcemia intravenous fluid furosemide oral phosphate corticosteroid agent Calcitonin used patient azotemia case intravenous fluid would contraindicated due limited cardiac reserve Also treatment post-menopausal osteoporosis woman year post-menopause
Pegfilgrastim,Pegfilgrastim Pegfilgrastim PEGylated form recombinant human granulocyte colony-stimulating factor G-CSF analogue filgrastim A187601 drug approved use decrease incidence infection manifested febrile neutropenia susceptible patient non-myeloid cancer receiving myelosuppressive anti-cancer treatment L9746 Although risk developing febrile neutropenia le many readily used chemotherapy regimen A248855 infection pose risk hospitalization mortality A187631 Due relatively short circulating half-life filgrastim kDa PEG moiety covalently conjugated N-terminus filgrastim methionine residue develop longer-acting pegfilgrastim A29 A187607 Due longer half-life slower elimination rate filgrastim pegfilgrastim requires le frequent dosing filgrastim however pegfilgrastim comparable pharmacological activity filgrastim bind G-CSF receptor stimulate proliferation differentiation activation neutrophil A187607 First developed Amgen pegfilgrastim initially approved FDA marketed Neulasta typically administered via subcutaneous injection several pegfilgrastim biosimilars Fulphila Pelgraz Lapelga Pelmeg Udenyca Ziextenzo Grasustek Fylnetra Stimufend Health Canada European Union EU FDA approved reduce infection risk L9779 L9785 L43050 biosimilars highly similar reference product Neulasta term pharmacological pharmacokinetic profile condition use L9974 Pegfilgrastim indicated decrease incidence infection manifested febrile neutropenia patient non­ myeloid malignancy receiving myelosuppressive anti-cancer drug associated clinically significant incidence febrile neutropenia L44221 also indicated increase survival patient acutely exposed myelosuppressive dos radiation Hematopoietic Subsyndrome Acute Radiation Syndrome L44221
Peginterferon alfa-2b,Peginterferon alfa-2b Peginterferon alfa-2b form recombinant interferon used part combination therapy treat chronic Hepatitis-C infectious liver disease caused infection Hepatitis-C Virus HCV HCV single-stranded RNA virus categorized nine distinct genotype genotype common United States affecting chronic HCV patient L852 Treatment option chronic Hepatitis-C advanced significantly since development Direct Acting Antivirals DAAs resulting le use Peginterferon alfa-2b Peginterferon alfa-2b derived alfa-2b moeity recombinant human interferon act binding human type interferon receptor Activation dimerization receptor induces body innate antiviral response activating janus kinasesignal transducer activator transcription JAKSTAT pathway Use Peginterferon alfa-2b associated wide range severe adverse effect including aggravation development endocrine autoimmune disorder retinopathy cardiovascular neuropsychiatric complication increased risk hepatic decompensation patient cirrhosis use Peginterferon alfa-2b largely declined since newer interferon-free antiviral therapy developed joint recommendation published American Association Study Liver Diseases AASLD Infectious Diseases Society America IDSA longer recommend Peginterferon alfa-2b treatment Hepatitis-C A19593 Peginterferon alfa-2b used alongside DB00811 intent cure achieve sustained virologic response SVR week therapy SVR eradication HCV infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence Hepatocellular Carcinoma reduced all-cause mortality A19626 Peginterferon alfa-2b available variable dose injectable product tradename Pegintron used treatment chronic Hepatitis-C Approved FDA Pegintron indicated treatment HCV Ribavirin antiviral drug FDA Label combined together Peginterferon alfa-2b Ribavirin shown achieve SVR genotype genotype-- week treatment Peginterferon alfa-2b indicated treatment HCV combination DB00811 NS34A protease inhibitor genotype without NS34A protease inhibitor genotype-- FDA Label May used monotherapy patient contraindication significant intolerance anti-viral therapy
Asparaginase Escherichia coli,Asparaginase Escherichia coli Asparaginase derived Escherichia coli L-asparagine amidohydrolase EC enzyme responsible metabolism L-asparagine catalyzing L-asparagine L-aspartic acid ammonia also facilitates production oxaloacetate needed general cellular metabolism Asparaginase-E coli clinically shown exhibit antitumor action model leukaemia A31996 A31997 L-asparaginase-E coli marketed several different trade name including Elspar treatment acute lymphoblastic leukemia part multi-agent chemotherapeutic regimen available intramuscular intravenous injection Therapeutic L-asparaginase-E coli work depleting level non-essential amino acid asparagine lymphoblastic leukemic cell thus promoting apoptotic cell death A31999 patient develop hypersensitivity-E coli-derived formulation L-asparaginase use PEGylated non-PEGylated DB08886 recommended A31999 Indicated component multi-agent chemotherapeutic regimen treatment patient acute lymphoblastic leukemia L39809
Thyrotropin alfa,Thyrotropin alfa Thyrotropin alfa recombinant form thyroid stimulating hormone used performing certain test patient thyroid cancer also used along radioactive agent destroy remaining thyroid tissue certain patient thyroid gland removed thyroid cancer heterodimeric glycoprotein comprised two non-covalently linked subunit alpha subunit amino acid residue containing two N-linked glycosylation site beta subunit residue containing one N-linked glycosylation site alpha subunit thyrotropin alfa effector region responsible stimulation adenylate cyclase display close structural similarity alpha subunit human chorionic gonadotropin hCG luteinizing hormone LH follicle-stimulating hormone FSH beta subunit TSHB bestows receptor specificity due uniqueness TSH amino acid sequence thyrotropin alfa identical human pituitary thyroid stimulating hormone detection residueal recurrent thyroid cancer
"Antihemophilic factor, human recombinant",Antihemophilic factor human recombinant Human recombinant antihemophilic factor AHF Factor VIII residue glycosylated produced CHO cell human recombinant antihemophilic factor indicated use adult child hemophilia control prevention bleeding episode perioperative management routine prophylaxis prevent reduce frequency bleeding episode L41025 L36130
Anakinra,Anakinra Anakinra recombinant human interleukin- IL- receptor antagonist IL-1Ra composed amino acid residue Unlike native human IL-1Ra anakinra additional methionine residue amino terminus drug bind IL- receptor competing inhibiting activity IL- alpha beta L35415 Anakinra indicated management rheumatoid arthritis RA patient year age older failed one disease-modifying antirheumatic drug DMARDs well treatment neonatal-onset multisystem inflammatory disease NOMID deficiency interleukin- receptor antagonist DIRA L35415 Since IL- important role inflammation immunological response anakinra also used off-label treatment inflammatory disease A247000 Anakinra produced using-E Coli bacterial expression system November approved FDA treatment rheumatoid arthritis later approved treatment NOMID DIRA December December respectively study evaluated use anakinra treatment coronavirus disease COVID- A247265 November FDA issued emergency use authorization EUA anakinra treatment COVID- hospitalized patient risk progressing severe respiratory failure L43932 Anakinra interleukin- receptor antagonist indicated reduction sign symptom slowing progression structural damage moderately severely active rheumatoid arthritis RA patient year age older failed one disease-modifying antirheumatic drug DMARDs Anakinra used alone combination DMARDs Tumor Necrosis Factor TNF blocking agent L35415 Anakinra also indicated treatment Neonatal-Onset Multisystem Inflammatory Disease NOMID treatment Deficiency Interleukin- Receptor Antagonist DIRA L35415 Anakinra also used off-label treatment several inflammatory disease A247000 FDA issued emergency use authorization EUA emergency use anakinra treatment coronavirus disease COVID- hospitalized adult positive result direct SARS-CoV- viral testing pneumonia requiring supplemental oxygen low- high-flow oxygen risk progressing severe respiratory failure likely elevated plasma soluble urokinase plasminogen activator receptor suPAR Since anakinra approved condition EUA drug used alternative treatment available L43927
Gramicidin D,Gramicidin Gramcidin heterogeneous mixture three antibiotic compound gramicidin-B C making respectively obtained soil bacterial specie Bacillus brevis called collectively gramicidin Gramcidins residue peptide alternating-L amino acid assemble inside hydrophobic interior cellular lipid bilayer form β-helix Active Gram-positive bacteria Gram-negative organism Gramicidin used primarily topical antibiotic also found Polysporin ophthalmic solution compound belongs class organic compound known polypeptide peptide containing ten amino acid residue treatment skin lesion surface wound eye infection
Human immunoglobulin G,Human immunoglobulin-G Intravenous immunoglobulin IVIg mixture IgG1 antibody derived healthy human plasma via Cohn fractionation purification process includes cold alcohol fractionation polyethylene glycol precipitation ion exchange chromatography IVIg contains distribution IgG antibody subclass found general human population IgG subclass fully represented following proportion IgG1 IgG2 IgG3 IgG4 IVIg used treatment immunodeficiency well autoimmune inflammatory disorder Human immunoglobulin-G indicated following condition Primary Immunodeficiency-- treatment primary immunodeficiency adult pediatric patientsL39920 L39930 L39935 L39940 L39945 L39950 L39955 L39960 L39965 L39975 L39980 L40029 L40034 L40044-- combination hyaluronidase human recombinant treatment primary immunodeficiency adultsL40039 Immune Thrombocytopenic Purpura ITP-- treatment acute chronic immune thrombocytopenic purpura adult pediatric patientsL39940 L39950 L39960 L39965 L39970 L39975 L39980 Chronic Inflammatory Demyelinating Polyneuropathy CIDP-- treatment CIDP adult patientsL39965 L39975 L39980 L40034 Multifocal Motor Neuropathy MMN-- maintenance therapy improve muscle strength disability adult patient MMNL39955 Prophylaxis Bacterial Infection-- prevention bacterial infection patient hypogammaglobulinemia andor B-cell chronic lymphocytic leukemiaL39960 Coronary Artery Aneurysm Associated Kawasaki Syndrome-- prevention coronary artery aneurysm pediatric patient Kawasaki syndromeL39960 Dermatomyositis-- treatment dermatomyositis adult patientsL39970
Anistreplase,Anistreplase Human tissue plasminogen activator purified glycosylated residue purified CHO cell Eminase lyophilized freeze-dried formulation anistreplase p-anisoyl derivative primary Lys-plasminogen-streptokinase activator complex complex Lys-plasminogen streptokinase p-anisoyl group chemically conjugated complex bacterial-derived streptokinase human Plasma-derived Lys-plasminogen protein lysis acute pulmonary embolus intracoronary embolus management myocardial infarction
Insulin human,Insulin human Human Insulin also known Regular Insulin short-acting form insulin used treatment hyperglycemia caused Type Type Diabetes Human insulin produced recombinant DNA technology identical endogenously produced insulin Typically prescribed management diabetes mellitus insulin peptide hormone produced beta cell pancreas promotes glucose metabolism Insulin released pancreas following meal promote uptake glucose blood internal organ tissue liver fat cell skeletal muscle Absorption glucose cell allows transformation glycogen fat storage Insulin also inhibits hepatic glucose production enhances protein synthesis inhibits lipolysis proteolysis among many function Insulin important treatment management Type Diabetes T1D caused autoimmune reaction destroys beta cell pancreas resulting body able produce synthesize insulin needed manage circulating blood sugar level result people T1D rely primarily exogenous form insulin lower glucose level blood Insulin also used treatment Type Diabetes T2D another form diabetes mellitus slowly progressing metabolic disorder caused combination genetic lifestyle factor promote chronically elevated blood sugar level Without treatment improvement non-pharmacological measure diet exercise lower blood glucose high blood sugar eventually cause cellular resistance endogenous insulin long term damage pancreatic islet cell Insulin typically prescribed later course T2D trying several oral medication DB00331 DB01120 DB01261 tried sufficient damage caused pancreatic cell body longer able produce insulin Marketed brand name product Humulin-R Novolin-R human insulin begin exert effect within minute subcutaneous administration peak level occur-- hour administration Due quick onset action human insulin considered bolus insulin provides high level insulin short period time mimic release endogenous insulin pancreas meal Bolus insulin often combined daily long-acting basal insulin DB01307 DB09564 DB00047 provide low concentration background insulin keep blood sugar stable meal overnight Use basal bolus insulin together intended mimic pancreas production endogenous insulin goal avoiding period hypoglycemia Human insulin also available inhalable form intended used bolus meal-time insulin Exubera first inhaled insulin available market developed Inhale Therapeutics later named Nektar Therapeutics Unfortunately limited uptake physician patient poor sale bulky packaging concern possible impact lung cancer development resulted Exubera product withdrawn US market A176005 Exubera followed Afrezza monomeric inhaled insulin developed Mannkind Corporation received FDA approval still available US Afrezza similar concern associated use FDA black box warning added warn use patient chronic lung disease Afrezza currently Health Canada European Medicines Agency approval marketing Canada EU Human Insulin residue peptide hormone produced recombinant DNA technology inserting human insulin gene Escherichia coli bacteria Saccharomyces cerevisiae structure identical native human insulin two amino acid chain covalently linked disulfide bond Human insulin also available intermediate-acting form NPH Neutral Protamine Hagedorn marketed product Novolin-N Humulin-N NPH insulin provided crystalline suspension insulin protamine zinc resulting onset action hour duration action hour peak action hour Due added crystal NPH insulin typically cloudy compared form insulin neutral pH Without adequate supply insulin promote absorption glucose bloodstream blood sugar level climb dangerously high level result symptom fatigue headache blurred vision increased thirst left untreated body start break fat instead glucose energy result build-up ketone acid blood syndrome called ketoacidosis life-threatening medical emergency long term elevated blood sugar level increase risk heart attack stroke diabetic neuropathy Human insulin indicated improve glycemic control adult pediatric patient diabetes mellitus
Tenecteplase,Tenecteplase Tenecteplase tissue plasminogen activator tPA developed modification natural human tPA complementary DNA cDNA amino acid substitution threonine asparagine substitution asparagine glutamine within kringle domain tetra-alanine substitution amino acid-- protease domain treatment myocardial infarction lysis intracoronary embolus
Menotropins,Menotropins Menotropins contains follicle stimulating hormone FSH luteinizing hormone LH purified urine postmenopausal woman used fertility medication injected either subcutaneously intramuscularly composed LH subunit alpha residue beta residue FSH subunit alpha residue beta111 residue treatment female infertility
Interferon gamma-1b,Interferon gamma-1b Human Interferon gamma-1b residue produced-E coli Production Actimmune achieved fermentation genetically engineered Escherichia coli bacterium containing DNA encodes human protein Purification product achieved conventional column chromatography sequence displayed cDNA sequence code human interferon gamma described Gray et al specifically interferon gamma 1b Interferon gamma-1b used treatment Chronic granulomatous disease Osteopetrosis
Interferon alfa-2a,Interferon alfa-2a Interferon human leukocyte protein moiety reduced type interferon consisting amino acid residue lysine position protein produced recombinant DNA technology resembles interferon secreted leukocyte used extensively antiviral antineoplastic agent oral form developed Amarillo Biosciences treatment chronic hepatitis-C hairy cell leukemia AIDS-related Kaposis sarcoma chronic myelogenous leukemia Also treatment oral wart arising HIV infection
Desmopressin,Desmopressin Desmopressin dDAVP synthetic analogue -arginine vasopressin ADH antidiuretic peptide drug modified deamination -cysteine substitution -L-arginine -D-arginine ADH endogenous pituitary hormone crucial role control water content body Upon release stimulation increased plasma osmolarity decreased circulating blood volume ADH mainly act cell distal part nephron collecting tubule kidney T28 hormone interacts V1 V2 V3 receptor differing signal cascade system Desmopressin display enhanced antidiuretic potency fewer pressor effect due V2-selective action prolonged half-life duration action compared endogenous ADH A31661 employed clinically since available various formulation including intranasal solution intravenous solution oral tablet oral lyophilisate A31662 Desmopressin indicated treatment polyuric condition including primary nocturnal enuresis nocturia diabetes insipidus also newly approved treatment mild classical hemophilia von Willebrands disease minor surgery active ingredient formulation desmopressin acetate Nocdurna desmopressin acetate approved FDA June 21st treatment nocturia due nocturnal polyuria adult available sublingual tablet - Indicated treatment nocturia due nocturnal polyuria adult awaken least time per night void intranasal-- Indicated antidiuretic replacement therapy management central cranial diabetes insipidus management temporary polyuria polydipsia following head trauma surgery pituitary region intranasalparenteral-- Indicated patient hemophilia factor VIII coagulant activity level greater mild moderate classic von Willebrands Disease Type factor VIII level greater surgical procedure postoperatively maintain hemostasis parenteral
Oprelvekin,Oprelvekin Oprelvekin active ingredient Neumega® recombinant Interleukin- IL- produced Escherichia coli-E coli recombinant DNA technology molecular mass approximately dalton non-glycosylated protein amino acid length comparison natural IL- amino acid long However display comparable biological activity compared natural IL- vitro vivo Oprelvekin work stimulating megakaryocytopoiesis thrombopoiesis mouse nonhuman primate study animal moderate severe myelosuppression addition compromised hematopoiesis oprelvekin shown potently induce thrombopoiesis improve platelet nadir accelerated platelet recovery compared control animal study oprelvekin also shown regulate intestinal epithelium growth enhancing healing gastrointestinal lesion inhibit adiopegenesis macrophageal released pro-inflammatory cytokine induce acute phase protein synthesis Indicated prevention severe thrombocytopenia reduction need platelet transfusion following myelosuppressive chemotherapy adult patient nonmyeloid malignancy high risk severe thrombocytopenia Label
Glucagon,Glucagon Glucagon amino acid hormone used diagnostic aid radiologic exam temporarily inhibit movement gastrointestinal tract treat severe hypoglycemia L7634 L7637 L7640 L7643 L8519 Glucagon raise blood sugar activation hepatic glucagon receptor stimulating glycogenolysis release glucose L7640 L7643 Glucagon granted FDA approval November L7631 Glucagon indicated diagnostic aid radiologic exam temporarily inhibit movement gastrointestinal tract treat severe hypoglycemia L7634 L7637 L7640 L7643 L8519
Aldesleukin,Aldesleukin Aldesleukin lymphokine produced recombinant DNA technology using genetically engineered-E coli strain containing analog human interleukin- gene Genetic engineering technique used modify human IL- gene resulting expression clone encodes modified human interleukin- recombinant form differs native interleukin- following way Aldesleukin glycosylated derived-E coli-b molecule N-terminal alanine codon amino acid deleted genetic engineering procedure-c molecule serine substituted cysteine amino acid position treatment adult metastatic renal cell carcinoma
Botulinum toxin type B,Botulinum toxin type-B Neurotoxin produced fermentation clostridium botulinum type-B protein exists noncovalent association hemagglutinin nonhemagglutinin protein neurotoxin complex neurotoxin complex recovered fermentation process purified series precipitation chromatography step treatment patient cervical dystonia reduce severity abnormal head position neck pain associated cervical dystonia
Omalizumab,Omalizumab Omalizumab manufactured Genentech first FDA approved treat adult child year age older moderate severe persistent allergic asthma controlled inhaled steroid L4670 Since-U approval patient older allergic asthma treated L4670 September new prefilled syringe formulation drug approved FDA L4671 drug anti-IgE antibody indicated Moderate severe persistent asthma patient year age older positive skin test vitro reactivity perennial aeroallergen symptom inadequately controlled inhaled corticosteroid FDA label Chronic idiopathic urticaria adult adolescent year age older remain symptomatic despite H1 antihistamine treatment FDA label
Lutropin alfa,Lutropin alfa Lutropin alfa recombinant human luteinizing hormone produced yeast subunit alpha residue beta residue heterodimeric glycoprotein made monomeric unit Lutropin alfa first recombinant human form luteinizing hormone LH developed use stimulation follicular development pharmacological action mimic biological activity endogenous LH acute rise LH LH surge female trigger ovulation development corpous luteum male LH stimulates Leydig cell produce testosterone treatment infertility woman hypothalamic pituitary insufficiency hypogonadotropic hypogonadism profound LH deficiency LH international unit IUL
Lyme disease vaccine (recombinant OspA),Lyme disease vaccine recombinant OspA Vaccine Lyme disease contains lipoprotein OspA outer surface protein Borrelia burgdorferi sensu stricto ZS7 expressed Escherichia coli Lipoprotein OspA single polypeptide chain amino acid lipid covalently bonded-N terminus conjugated alum aluminum hydroxide adjuvant prophylactic treatment Lyme Disease
