id,name_tejary,goroh_daroei,goroh_darmani,name_farsi,shekl_daroei,masraf_hamelegi,mavared_masraf,mizan_masraf,mavared_mane,avarez_janebi,tavajohat,amozesh,description,sharayet_negah,nokte
11,Alphagan,آگونیست یگوند A دو آدرنرژیک,"میوتیک ها , ضد آب سیاه  چشم",بريمونيدين تارترات,قطره چشمی 0.2 درصد,گروه B,"آب سیاه چشم , برای کاهش فشار چشم (گلوکوم)",یک قطره سه بار در روز در چشم ریخته شود.,حساسیت شدید و مصرف کنندگان دارو های (MAO),"سرگیجه , خشکی دهان , تاری دید , پرخوری , سرفه",فشار داخل چشم را در هنگام مصرف به طور منظم کنترل کنید.,به علت خستگی و سرگیجه از رانندگی و کارهای دقیق اجتناب شود.,BRIMONIDINE TARTRATE,در جای خشک و خنک و در دمای کمتر از 25 درجه سانتیگراد نگهداری شود.,---
12,Vinuphos,آلکالوئید,محرک ملایم سیستم عصبی,کافئين,در ترکیب با A.C.A,مطالعه نشده,"افزاش بیداری , هشیاری و تسریع کارکرد عضلات و افزایش عملکرد سیستم تنفسی - به همراه ضد دردها (آسپیرین یا کدئین) مصرف می شود.",در ترکیبات متفاوت است.,حساسیت شدید,"تعوع سر درد , بی خوابی , تشنج , وزوزگوش , توهم بینایی و باعث افزایش ناراحتی گوارشی می شود.","در ضورت بروز علائم مسمومیت , شستشوی معده و تخلیه آن مفید است.",مصرف بیش از حد آ« خطرناک می باشد.,CAFFRINE,در دمای معمولی نگهداری شود.,در بیماران با زخم معده باید با احتیاط مصرف شود.
13,Apomorphin Hcl,آلکالوئید (نمک),استفراغ آور,آپو مورفين هيدروکلرايد,تزریقی,گروه C,ایجاد استفراغ در مسمومیت دارویی,2 تا 10 میلی گرم از راه زیر جلدی یا عضلانی,در مسمومیت با قلیاها و مواد نفتی ممنوعیت مصرف دارد . در افراد مست و غیر هوشیار ممنوع و در افراد دچار شوک و تشنج نباید مصرف شود.,"بی قراری , لرزش دست , خواب آلودگی , تهوع و نارسایی قلبی حاد و مشکل تنفسی",استفراغ ظرف 5 دقیقه پس از تزریق ایجاد می شود . علائم حیاتی بیمار تا 2 ساعت پس از تزریق کنترل شود.,بیمار پس از تزریق 200 تا 300 میلی لیتر آب بنوشد. بیمار باید در وضعیتی قرار بگیرید که احتمال آسیپیراسیون مواد استفراغی به داخل ریه وجود نداشته باشد.,APOMORPHIN HCL,در دمای 2 تا 8 درجه نگهداری شود . دارو در معرض نور فاسد می شود.,---
14,Bellergal,آلکالوئید بلادونا,پیشگیری از سردرد های میگرنی,بلادونا - آرگوتامين پي بي,قرص,گروه D,"پیسگیری از سردرد های میگرنی , مشکلات هیجانی و سردرد قبل از قاعدگی و کاهش علائم یائسگی",1 قرص صبح و 1 قرص ظهر و  2 قرص زمان خواب,"انسداد لوله گوارش , زخم دستگاه گوارش (نوع شدید) ولی در بیماری قلبی و تیروئید با احتیاط مصرف شود.در آب سیاه (گلوکوم) منع مصرف دارد.","تاری دید , خشکی دهان , علائم عصبی و مشکلات اداری.",پزشک باید سابقه بیماری های کلیوی - کبدی  و چشمی را برسی کند. فاصه تجویز آنتی اسید با این دارو حداقل یک ساعت باشد. بیمار بهتر است آنتی اسید را بعد از غذا مصرف کند.,دارو را نیم ساعت قبل از غذا و شب موقع خواب مصرف کنید در صورت تاری دید یا  خواب آلودگی از راننگی اجتناب کنید. مایعات کافی  بنوشید.,BELADONA ERGOTAMINE P.B,در دمای معمولی اتاق نگهداری شود.,این دارو از لیست دارو های ایران حذف شده ولی در باز
15,Ergomar,آلکالوئید مشتق ارگوت,"ضد میگرن , ضد سر درد عروقی",ارگوتامين تارترات,قرص زیر زبانی,گروه X,درمان سردرد های عروقی (میگرن),یک قرص به صورت زیر زبانی و در صورت لزوم تکرار,"حساسیت شدید دارویی , بیماری و نارسایی کبدی و کلیوی , فشار خون بالا , سابقه سکته قلبی , کم خونی شدید","تهوع , استفراغ , خول آلودگی , ضعف عمومی , ضعف شدید , درد شکم , پارسنتری , تشنج",در صورت تهوع شدید از متوکلوپرامید خوراکی یا تزریقی استفاده کنید.,مصرف خود سرانه یا میزان بالای دارو ممنوع است .  نباید دارو جویده یا بلعیده شود. در صورت شعف عمومی و سردی انگشتان به پزشک اطلاع دهید. استعمال همزمان سیگار خطرناک است.هر گونه عفونت احتمالی را به پزشک اطلاع دهید.,ERGOTAMINE TARTRATE,در دمای اتاق نگهداری شود.,---
16,Colgout,آلکالوئیداز کولشیسون,"ضد نقرس , ضد التهاب",کلشي سين,قرص 1 میلی گرم,گروه C,"درمان نقرس , درمان آ میلوئیدوز , آرتریت بهجت , سیروز کبدی",1 تا 3 قرص در ابتدا و 0.5 میلی گرم ( نصف قرص) هر 6 ساعت,"زخم های شدید دستگاه گوارش حساسیت شدید دارویی, بیماری کلیوی , نارسایی قلبی و ضایعات خونی","تهوع , استفراغ , عوارض پوستی , کهیر , درماتیت , درد شکم , اسهال , پایین آمدن فشار خون , گیجی , ریزش مو, تکرر ادرار",آژمایشهای کلیوی و خونی برای کنترل الزامی است.پس از بهبود علائم باید دارو را قطع کنید.,"دارو را با شیر یا غذا مصرف کنید.در صورت بروز استفراغ یا ساهال شدید , مشکل تنفسی و کاهش ادرار که علائم مسمومیت هستند به پزشک مراجعه شود.",COLCHICINE,در دمای اتاق نگهداری شود.,---
17,DtIC,آلکیله کننده,ضد سرطان,داکاربازين,تزریقی,گروه D,"سرطان های خونی , سرطان پوست (ملانوم بدخیم)",2 تا 4.5 میلی گرم به ازای هر کیلوگرم وزن بدن در روز به مدت 10 روز,"حساسیت شدید دارویی , واکسن ویروس های زنده و آبله مرغان","عوارض خونی , اسهال , زخم دهان , استفراغ , بی اشتهایی , کم خونی",این داور باید فقط از طریق وریدی استفاده شود. بهتر است شمارش سلول های خونی به طور منظم انجام شود.ارجح است بیمار در ابتدای درمان در بیمارستان بستری شود.,"بیمار می بایست با پزشک در پیگیری آزمایشها همکاری کند.تاری دید و اختلال حس , نشانه مسمومیت است.",DACARBAZINE,محلول آماده تا 8 ساعت در دمای معمولی نگهداری شود.,---
18,Endoxan,آلکیله کننده,ضد سرطان,سيکلوفسفامايد,تزریقی و قرص,گروه D,"درمان سرطان های لنفوم , اوسمی , سرطان تخمدان , پستان و در بیماری نارسایی کلیه (سندرم نفروتیک) و در رماتیسم و بیماری بافت همبند",در  نوع وریدی 40 تا 50 میلی گرم به ازای هر کیلو گرم در 2 تا 5 روز و سپس میزان دارو 1 تا 5 میلی گرم به ازای هر کیلوگرم و در نوع خوراکی 2 تا 4 میلی گرم به ازای هر کیلوگرم به مدت 10 روز و سپس میزان دارو افزایش یابد.,"در حاملگی , شیر دهی , افرادی که واکسن ویروس زنده دریافت کرده اند.","تهوع , استفراغ , خون در ادرار , عوارض خونی , خونریزی , اختلال الکترولیت های خون , عوارض قلبی , اسهال",قرص آن با معده خالی مصرف شود. آزمایش های خونی انجام شود.,"در صورت بروز هر گونه خونریزی در ادرار , مدفوع , دهان یا زیر پوست به  پزشک اطلاع داده شود.اسهال به همراه درد شکمی متناوب و تهوع و ضعف عمومی نشانگر کمبود پتاسیم است , به پزشک اطلاع داده شود.",CYCLOPHOSPHAMID,در جای خشک و خنک نگهداری شود.,---
19,Leukeran,آلکیله کننده,ضد نئوپلاسم ( ضد سرطان),کلرامبوسيل,قرص 2 میلی گرمی,گروه D,"درمان سرطان های مثل لوسمی , لنفوم (هوچکین و غیر هوچکین),به طور جانبی در درمان روماتوئید آرتریت و سندرم بهجت استفاده میشود.",درمان اولیه 0.1 تا 0.2 میلی گرم به ازای هر کیلوگرم وزن به مدت 3 تا 6 هفته می باشد.,حساسیت شدید به کلرامبولسیل یا گروه های آلکیله کننده,"کاهش سلول های خونی و اختلالات خونی , کم خونی عوارض ریوی , سرفه , مشکلات گوارشی , زخم دهان",بررسی آزمایشهای خونی قبل و حین درمان ضروری است. احتمال بروز عفونت و خونریزی برا به بیمار گوشزد کنید. در خانم ها عملکرد تخمدان و دوره ماهانه مختل می شود.,بیمار باید هر 2 هفته یک بار مورد معاینه قرار بگیرد.زنان در سن بارداری باید از روش جلوگیری استفاده کنند.این دارو به شدت برای حاملگی خطرناک است و توام با اختلالات در جنین است.,CHOLORAMBUCIL,در دمای معمولی اتاق نگهداری شود.,---
20,Mustargen,آلکیله کننده,ضد سرطان مهار سیستم ایمنی,کلرمتين کلرايد,تزریقی (10 میلی گرم),گروه D,"لنفوم , لنفوسارکوم , سرطان ریه , و سرطان ها CML و CLL",0.4 میلی گرم به ازای هر کیلوگرم وزن  تزریق شود.,"آبله مرغان , زونا (بیماری پوستی و ویروسی) , نقرس (بیماری التهابی مفاصل ناشی از افزایش اسید اوریک خون","تهوع , استفراغ , تمایل به خونریزی , سرگیجه , خواب آلودگی , بی اشتهایی",در هنگام تزریق از دستکش و ماسک استفاده کنید.,طبق دستور به طور متوالی به پزشک مراجعه شود.در صورت خونریزی و خونمردگی به پزشک اطلاع دهید. کچلی ناشی از دارو برگشت پذیر است. مسواک زدن باید با دقت و با مسواک نرم باشد. استعمال سیگار و نوشیدن الکل خطرناک است.,CHLORMETHINE (HCL),در دمای معمولی اتاق نگهداری شود.,از برخورد با بیماران ویروسی باید پرهیز شود.
21,Bicnu,آلکیله کننده ها,ضد سرطان,کارموستين,تزریقی,گروه D,"در درمان سرطان های مغز و ساقه مغز , لنفوم , مولتیپل میلوما",150 تا 200 میلی گرم به ازای هر متر مربع وریدی هر 6 هفته,"در عفونت های ویردلی مثل آبله یا هرپس , نارسایی کلیه و کاهش پلاکت خون مصرف آن ممنوع است.","باعث ایجاد ترومبوسیتوپنی (کاهش سلول های پلاکتی خون) و باعث لوسمی حاد , اسهال , بی اشتهایی و ترومبوز (ایجاد لخته در رگ ها)می شود.",تست های کبدی و کلیوی و خونی قبل و حین درمان انجام شود. بیمار به دلیل عوارض شدید این دارو باید زیر نظر مستقیم پزشک باشد.احنمال خونریزی را به بیمار گوشزد کنید.,"پس از تزریق , در محل تزریق یخ قرار دهید.حین درمان ممکن است برافروختگی رخ دهد که به زودی از بین می رود.ریزش مو و احتمال عفونت ویروسی را به بیمار تذکر دهید .",CARMUSTIN,در دمای 2 تا 8 درجه نگهداری شود.,---
22,Ceenu,آلکیله کننده ها,ضد سرطان,لوموستين,کپسول 40 میلی گرمی,گروه D,"سرطان های مغز , لنفوم هوچکین",طبق نظر تخصصی از 130 میلی گرم در هر متر مربع سطح بدن شروع می شود.,افراد با واکسیناسیونهمزمان با ویروس زنده یا میتلایان به آبله مرغان و حساسیت شدید دارویی,"عوارض خونی شدید مثل کاهش گلوبول سفید خون از آن جمله اند, عوارض کلیوی , اختلالات در حرکت , بی قراری, عوارض گوارشی مثل تهوع , استفراغ , زخم دهان , کچلی","به علت سرکوب ایمنی , استعداد  فرد به آلودگی میکروبی افزایش می یابد. کنترل کامل آزمایشهای خونی ضروری است. فعالیت غدد جنسی در حین دارو کاهش میابد.",اعضای خانواده بیمار نباید تحت واکسیناسیون با ویروس زنده قرار بگیرند. تهوع و استفراغ را میتوان با مصرف دارو قبل  از غذا کاهش داد.    در خانم ها این دارو باعث قطع عادت ماهیانه می شود.,LOMUSTIN,در دمای معمولی اتاق نگهداری شود.,---
23,Myleran,آلکیله کننده ها,ضد سرطان,بوسولفان,قرص 2 میلی گرمی,گروه D,"درمان , کنترل و مهار سرطان CML (لوسمی میلوبلاستیک مزمن)",روزانه 4 تا 8 میلی گرم از راه خوراکی,مقوم به درمان باشد یا حساسیت  شدید دارویی بروز کند.,"خونریزی , سردرد , افسردگی , تاری دید , وزوز گوش , عوارض تنفسی , بزرگ شدن پستان ها در مردان , یبوست و استفراغ و اسهال , کوچک شدن بیضه ها , فیبروز ریه , آب مروارید(چشم)","آزمایش های خونی , کبدی و کلیوی کنترل شود.ریه ها را معاینه بالینی کنید . انجام هر نوع واکسن باید حتما با اطلاع پزشک باشد.",دارو باید هر روز در ساعات معین مصرف شود.بهتر است با معده خالی مصرف شود.بیمار به علت احتمال بروز خونریزی در هنگام مسواک و نخ دندان مراقب باشد.,BUSULFAN,در جای خشک و معمولی و دور از نور  نگهداری شود.,---
24,Paraplatin,آلکیله کننده ها,ضد نئوپلاسم,کاربوپلاتين,تزریقی,گروه D,"سرطان تخمدان , سرطان ریه , سرطلن های رحمی , لوسمی ,  تومور بیضه","360 میلی گرم به ازای هر متر مربع سطح بدن که بعد از 4 هفته تکرار پذیر است ولی در درمان کمکی با سیکلوفسفاماید , 300 میلی گرم به ازای هر متر مربع سطح بدن فرد تجویز شود.","حساسیت شدید , نارسایی کلیه و حاملگی","تهوع و استفراغ , کاهش فعالیت مغز استخوان و کم خونی , عوارض شدید کلیوی به ویژه اگر همراه داروهایی مثل جنتامایسین استفاده شود.",تجویز توسط پزشک با تجربه در زمینه درمان سرطانها (انکولوژیست) صورت گیرد. آزمایش های خونی و کلیوی در حین درمان انجام شود. عفونت یا گلودرد در حین درمان مهم تلقی شود.احتمال خونریزی لثه و مجاری ادراری وجود دارد.,هر گونه کبودی و یا خونریزی از بینی را به پزشک اطلاع دهید. اختلالات حسی و بینایی را به پزشک اطلاع دهید و مراقب باشید در طول درمان ضربه یا آسیب فیزیکی به بدن وارد نشود.,CARBOPLATIN,در دمای معمولی نگهداری شود.,---
25,Platinol,آلکیله کننده ها,ضد سرطان,سين پلاتين,تزریقی,گروه D,"درمان کمکی در سزطان ها بیضه , ریه , مثانه و تومور های تخمدان","20 میلی گرم به ازای هر متر مربع سطح بدن , روزانه به مدت 5 روز در دوره های سه هفته ای به مدت 3 دوره به همراه بلئومایسین , وین بلاستین","حساسیت شدید , نارسایی کلیه , نارسایی مغز استخوان , اختلال شنوایی","تهوع , استفراغ , عوارض خونی , تمایل به خونریزی , مشکلات گوارشی",تست های کلیوی قبل و حین درمان باید انجام شود. احتمال اختلالات شنوایی وجود دارد.ممکن است فرد دچار فشار خون و مشکلات قلبی بشود.,بیمار باید برای انجام معاینات دوره ای پیگیر باشد.نه بیمار و نه خانواده و نه کسانی که با او زندگی میکنند نباید واکسن زنده ویروسی فلج اطفال و سرخک بزنند. درد پهلو یا سوزنی و مشکلات ادراری را به پزشک اطلاع دهید.,CISPLATIN,در دمای 2 تا 8 درجه نگهداری شود.,مایعات کافی مصرف شود.
26,Cetavlon,آمونیوم کواترنر,ضد عفونی کننده,ستريميد - سي,محلول,مطالعه نشده است,ضد عفونی زخم های ناشی از سوختگی و تمیز کننده پوست و التهاب پوست و شستشوی حین جراحی در کیست  هیداتید,به طور موضعی برای ضد عفونی زخم ها استفاده می شود.,خوردن آن ممنوع است  و مسمومیت و آلودگی شدید ایجاد می کند.,"در صورت استفاده موضعی با غلظت زیاد پوست را تحریک می کند. تهوع و استفراغ , مهار فعالیت مغزی , کاهش فشار خون  و مشکل تنفسی ایجا می کند.",واکنش حساسیتی ممکن است بروز کند.(به ویژه در غلظت های بالا),"از تماس محلول با مخاط بدن مثل دهان , زبان و حفره بینی شدیدا اجتناب شود.",CETRIMIDE-C,در دمای معمولی اتاق نگهداری شود.,---
27,Pronestyl,آمید پروکائین,ضد آریتمی قلبی,پروکائين آميد,کپسول و آمپول,گروه C,در بی نظمی های ریتم قلب (AF-PAC-PVST-VT-MI) کاربرد دارد.,طبق دستور متفاوت است.,"حساسیت شدید دارویی , بلوک قلبی , میاستنی گراویس","تب , درد  عضلانی , بی نظمی قلبی, اختلالات روانی, بلوک قلبی, ضعف , سرگیجه , بی اشتهایی, تهوع , درد شکم",اختلالات خونی از عوارض شایع است. در صورت خونریزی و تغییر رنگ پوست و خونمردگی آزمایشهای انعقادی انجام می شود.در صورت تزریق وریدی می بایست بیمار تحت کنترل باشد.,"درد عضلانی , اسهال  و درد گلو مهم است به پزشک مراجعه شود . در صورت بروز تب و ضایعات پوستی اطلاع دهید.",PROCAINAMIDE,در دمای معمولی نگهداری شود.,---
28,Ditropan,آمین نسل سوم,ضد اسپاسم,اکسي بوتينين,قرص 5 میلی گرمی,گروه B,"درد و تحریک مثانه و شب ادراری , بی اختیاری ادراری",یک قرص 2 تا 3 بار در روز,"حساسیت شدید به دارو , میاستنی گراویس , انسداد روده , نارسایی کلیه","تب , سردرد , تاری دید , تهوع , یبوست , سرگیجه , افزایش ضربان قلب , میدریاز ( باز شدن مردمک چشم ) , کاهش میل جنسی مردان",تشنج و تحریک پذیری از علائم مسمومیت است.,در صورت علائم خواب آلودگی و اختلال هوشیاری به پزشک اطلاع دهید. خشکی دهان از عوارض شایع است از آدامس و یا آب نبات استفاده کنید.,OXYBUTYNIN,در دمای اتاق نگهداری شود.,---
29,symmetrel,آمین های قوی,"ضد ویروس , ضد پارکینسون",آمانتادين,کپسول 100 میلی گرمی,گروه D,"پیش گیری و یا درمان علامتی آنفولانزا ناشی از ویروس تیپ A , درمان عوارض دارویی (واکنش اکسترا پیرامیدال) و  پارکینسون",در آنفولانزا 200 میلی گرم روزانه و در پارکینسون 100 میلی گرم دو بار در روز,"حساسیت دارویی ولی در موارد تشنج , مسائل روانی , نارسایی کلیوی , تشنج و بیماری قلبی - عروقی , و در زنان حامله باید با احتیاط مصرف شود.","افسردگی , سرگیجه , توهم , کاهش فشار خون , خشکی دهان , عوارض خونی",میزان ادرار و سلول های خونی در حین مصرف باید کنترل  شود .,پس از مصرف به علت خواب آلودگی  کارهای دقیق و راننگی ممنوع است. به علت خشکی دهان از مایعات برای شستشوی دهان استفاده شود.,AMANTADINE HCL,درجه حرارت 15 تا 30 درجه مطلوب است.,---
30,Amino,آمینو اسیدها,تغذیه داخل وریدی و پر کالری,آمينو اسيد,تزریق 5 و 10 درصد ا لیتری,گروه C,عارضه سو تغذیه یا مشکلات تغذیه ای ناشی از کمبود پروتئین و کالری,روزانه 1 تا 1.7 گرم به ازای هر کیلوگرم از راه ورید که همراه با دیگر مواد (الکترولیت ها) مصرف شود.,"نارسایی شدید کلیه , کبد و مشکلات مغزی  ( آنسفالوپاتی) , افزایش آمونیوم خون","سرگیجه , ادم ریه , افزایش فشار خون , راش پوستی , افزایش جبرانی قند خون  و  تب",پزشک معالج باید ویتامین k هم به رژیم  غذایی بیمار اضافه کند (هفته ای 10 میلی گرم ) علائم حیاتی بیمار توسط پرستار کنرل شود . آزمایش های خون و کبد و کلیه و قند بررسی شوند.,در صورت تب و علائم خاص مثل درد و تورم محل تزریق به پزشک اطلاع دهید .,AMINO ACID,در دمای اتاق نگهداری شود.,این دارو حاوی بیش از 20 نوع اسید آمینه میباشد . تج
